coop_level,difficulty,policy,avg_A,avg_B,median_steps,mean_steps,std_steps
0.2,0.3,AC,0.749985,0.749791,1,1,0.0
0.2,0.3,AP,0.900299,0.899966,1,1,0.0
0.2,0.3,PG,0.711924,0.711909,1,1,0.0
0.2,0.3,OUR,0.712899,0.712907,1,1,0.0
0.6,0.3,AC,0.849939,0.849737,1,1,0.0
0.6,0.3,AP,0.800641,0.800268,1,1,0.0
0.6,0.3,PG,0.713368,0.713686,1,1,0.0
0.6,0.3,OUR,0.712896,0.712903,1,1,0.0
0.8,0.3,AC,0.900235,0.900371,1,1,0.0
0.8,0.3,AP,0.749852,0.750103,1,1,0.0
0.8,0.3,PG,0.711839,0.711896,1,1,0.0
0.8,0.3,OUR,0.711264,0.711342,1,1,0.0
0.6,0.6,AC,0.550384,0.549672,1,1,0.0
0.6,0.6,AP,0.499573,0.500055,1,1,0.0
0.6,0.6,PG,0.41272,0.412983,1,1,0.0
0.6,0.6,OUR,0.412391,0.412326,1,1,0.0
